learner_record_id,region,department,role_family,experience_band,training_mode,prior_python_score,course_minutes,manager_support_score,support_tickets_last_30d,engagement_score,completion_days,assessment_score,satisfaction_score,productivity_gain_estimate_pct,completed_training
EDA-0018,South East,Sales,Advisor,0-2 years,Self-paced,21.2,381.0,1,2,53.9,25.0,67.3,4.9,10.5,1
EDA-0019,North West,Sales,Developer,0-2 years,Instructor-led,49.2,316.0,2,0,80.4,20.0,76.3,3.5,10.1,1
EDA-0020,North West,Operations,Manager,6-10 years,Instructor-led,63.9,450.0,5,3,100.0,24.0,100.0,5.0,12.9,1
EDA-0021,London,IT,Analyst,0-2 years,Instructor-led,40.0,313.0,3,0,59.5,23.0,65.2,5.0,7.8,1
EDA-0022,South East,Customer Support,Advisor,10+ years,Self-paced,41.0,283.0,5,1,81.9,29.0,98.8,4.8,14.3,1
EDA-0023,Yorkshire,IT,Coordinator,3-5 years,Instructor-led,74.5,455.0,2,1,40.5,18.0,72.3,3.5,11.5,1
EDA-0024,Scotland,IT,Administrator,0-2 years,Instructor-led,52.9,387.0,3,0,68.3,27.0,84.8,4.6,12.0,1
EDA-0025,South East,Customer Support,Analyst,6-10 years,Blended,74.6,409.0,5,2,65.6,29.0,85.3,4.7,13.4,1
EDA-0026,Wales,Sales,Developer,3-5 years,Blended,40.9,444.0,2,1,69.2,21.0,83.3,4.6,11.4,1
EDA-0027,West Midlands,IT,Analyst,6-10 years,Instructor-led,53.1,437.0,4,0,82.1,4.0,95.6,4.0,13.6,1
EDA-0028,Scotland,HR,Advisor,0-2 years,Blended,86.9,368.0,5,1,100.0,16.0,97.9,5.0,10.8,1
EDA-0029,North West,Product,Analyst,3-5 years,Blended,27.9,345.0,1,8,41.2,36.0,53.9,3.2,11.6,1
EDA-0030,Yorkshire,HR,Manager,3-5 years,Instructor-led,81.2,374.0,4,1,92.7,18.0,100.0,3.8,11.6,1
EDA-0031,North West,IT,Administrator,6-10 years,Blended,55.9,433.0,4,1,90.3,30.0,95.3,5.0,17.2,1
EDA-0032,South East,Sales,Analyst,3-5 years,Instructor-led,58.9,406.0,3,1,75.6,16.0,82.3,4.0,12.8,1
EDA-0033,North West,Product,Administrator,0-2 years,Blended,46.0,354.0,2,0,74.7,11.0,73.5,3.9,10.5,1
EDA-0034,London,Sales,Coordinator,10+ years,Self-paced,55.7,362.0,4,0,76.6,12.0,74.8,5.0,10.9,1
EDA-0035,Wales,Customer Support,Manager,3-5 years,Self-paced,64.8,338.0,3,1,94.3,3.0,81.5,4.6,10.1,1
EDA-0036,London,Operations,Advisor,6-10 years,Instructor-led,36.6,353.0,1,3,77.8,21.0,64.2,4.9,6.7,1
EDA-0037,Wales,HR,Coordinator,3-5 years,Instructor-led,43.9,331.0,2,1,40.0,23.0,72.4,3.6,5.8,0
EDA-0038,North West,Finance,Coordinator,6-10 years,Blended,67.8,323.0,4,0,94.5,10.0,76.9,4.4,11.8,1
EDA-0039,West Midlands,IT,Advisor,10+ years,Instructor-led,70.0,284.0,3,1,59.2,19.0,77.3,4.4,16.8,1
EDA-0040,Yorkshire,Sales,Analyst,6-10 years,Blended,44.7,448.0,5,0,92.3,19.0,86.6,5.0,13.8,1
EDA-0041,North West,Sales,Advisor,3-5 years,Self-paced,67.6,337.0,3,2,80.6,23.0,91.5,5.0,7.9,1
EDA-0042,South East,Customer Support,Coordinator,3-5 years,Self-paced,71.9,178.0,3,2,91.2,21.0,98.2,5.0,12.7,0
EDA-0043,Wales,Sales,Advisor,0-2 years,Blended,66.2,370.0,3,1,53.1,24.0,100.0,3.6,10.4,1
EDA-0044,Wales,Customer Support,Manager,6-10 years,Self-paced,98.0,469.0,4,2,86.2,17.0,83.9,5.0,8.7,1
EDA-0045,South East,Operations,Analyst,6-10 years,Self-paced,40.1,301.0,5,1,100.0,21.0,81.7,5.0,11.0,1
EDA-0046,Yorkshire,Finance,Analyst,3-5 years,Self-paced,46.6,331.0,3,1,59.7,22.0,87.9,4.2,6.3,0
EDA-0047,Yorkshire,Product,Manager,10+ years,Instructor-led,47.5,372.0,5,0,75.7,14.0,79.0,5.0,12.4,1
EDA-0048,London,Product,Analyst,10+ years,Instructor-led,29.8,259.0,3,1,77.8,26.0,72.4,4.4,6.2,1
EDA-0049,North West,HR,Manager,6-10 years,Self-paced,96.3,482.0,3,0,73.7,18.0,89.4,4.6,13.2,1
EDA-0050,London,Customer Support,Developer,10+ years,Blended,50.0,489.0,3,0,55.9,35.0,78.9,4.7,3.6,0
EDA-0051,South East,Customer Support,Administrator,6-10 years,Self-paced,59.0,327.0,3,1,83.1,17.0,87.6,4.1,9.1,1
EDA-0052,Yorkshire,HR,Developer,3-5 years,Blended,41.1,359.0,5,0,100.0,15.0,80.2,5.0,13.1,1
EDA-0053,London,Customer Support,Coordinator,6-10 years,Blended,31.9,358.0,4,1,89.6,22.0,89.2,5.0,12.4,1
EDA-0054,Wales,Operations,Analyst,6-10 years,Instructor-led,78.1,345.0,4,0,73.1,13.0,100.0,5.0,13.7,1
EDA-0055,West Midlands,Sales,Manager,6-10 years,Self-paced,58.2,261.0,2,1,86.1,14.0,88.2,3.7,12.7,1
EDA-0056,London,Sales,Manager,3-5 years,Self-paced,58.1,272.0,3,1,77.5,17.0,85.4,4.8,11.1,1
EDA-0057,South East,IT,Analyst,6-10 years,Self-paced,65.8,382.0,3,1,60.2,17.0,91.1,4.4,13.5,1
EDA-0058,West Midlands,IT,Analyst,6-10 years,Blended,73.4,420.0,4,0,89.5,7.0,100.0,4.8,12.3,1
EDA-0059,South East,Finance,Administrator,3-5 years,Blended,55.5,419.0,3,1,63.1,23.0,69.9,5.0,10.5,1
EDA-0060,Wales,Customer Support,Coordinator,6-10 years,Self-paced,47.5,314.0,2,0,82.7,19.0,90.3,4.4,15.0,1
EDA-0061,Scotland,IT,Analyst,3-5 years,Blended,81.9,414.0,2,0,59.9,12.0,76.3,3.8,6.4,1
EDA-0062,Scotland,IT,Administrator,6-10 years,Blended,34.5,381.0,5,2,80.1,27.0,94.6,4.2,13.3,1
EDA-0063,London,Finance,Manager,3-5 years,Blended,79.1,408.0,4,0,81.4,20.0,95.3,4.2,10.9,1
EDA-0064,North West,Product,Administrator,10+ years,Self-paced,57.8,345.0,3,0,91.0,5.0,76.2,5.0,9.1,1
EDA-0065,Scotland,Operations,Advisor,10+ years,Blended,70.4,437.0,3,1,84.9,23.0,98.2,4.9,12.0,1
EDA-0066,Wales,HR,Analyst,0-2 years,Blended,50.4,350.0,5,2,97.1,20.0,86.8,5.0,14.7,1
EDA-0067,North West,Operations,Analyst,0-2 years,Instructor-led,51.2,384.0,3,0,92.2,13.0,75.3,4.9,9.9,1
EDA-0068,Scotland,Sales,Administrator,6-10 years,Self-paced,63.4,301.0,1,0,88.2,15.0,100.0,5.0,15.9,1
EDA-0069,London,Operations,Coordinator,6-10 years,Self-paced,53.1,224.0,5,0,91.1,22.0,85.5,5.0,11.0,1
EDA-0070,North West,Operations,Analyst,0-2 years,Blended,67.4,459.0,4,2,86.9,12.0,78.1,5.0,13.8,1
EDA-0071,Scotland,Sales,Manager,3-5 years,Blended,60.8,453.0,4,3,97.0,25.0,78.3,5.0,10.2,1
EDA-0072,London,Finance,Developer,6-10 years,Self-paced,85.6,397.0,3,0,70.2,14.0,68.9,3.7,12.6,1
EDA-0073,West Midlands,Sales,Analyst,3-5 years,Self-paced,50.5,274.0,5,0,100.0,14.0,96.4,5.0,13.8,1
EDA-0074,Wales,Operations,Coordinator,0-2 years,Self-paced,20.3,199.0,3,2,70.6,31.0,78.0,4.5,9.9,1
EDA-0075,South East,Product,Developer,3-5 years,Blended,56.9,480.0,4,1,100.0,19.0,84.1,5.0,9.8,1
EDA-0076,Yorkshire,Sales,Administrator,0-2 years,Self-paced,46.0,210.0,3,1,90.4,9.0,78.4,4.2,10.6,1
EDA-0077,Wales,Finance,Manager,3-5 years,Blended,34.2,296.0,5,0,96.7,21.0,100.0,5.0,9.7,1
EDA-0078,West Midlands,IT,Advisor,6-10 years,Self-paced,45.3,384.0,2,2,77.3,25.0,73.5,3.5,7.1,0
EDA-0079,Yorkshire,Customer Support,Analyst,0-2 years,Blended,32.5,459.0,3,1,100.0,30.0,68.3,4.9,10.5,1
EDA-0080,Wales,HR,Manager,0-2 years,Blended,71.9,579.0,5,0,78.9,5.0,79.4,4.3,15.0,1
EDA-0081,Scotland,Sales,Developer,6-10 years,Blended,46.2,408.0,5,0,79.2,18.0,87.6,4.7,11.6,1
EDA-0082,West Midlands,IT,Manager,10+ years,Self-paced,13.3,156.0,3,2,80.0,22.0,70.9,4.4,10.0,1
EDA-0083,West Midlands,Operations,Advisor,3-5 years,Blended,53.3,412.0,2,3,77.4,26.0,81.5,4.9,8.9,1
EDA-0084,Yorkshire,IT,Analyst,10+ years,Blended,47.5,385.0,3,0,84.5,25.0,89.4,4.9,13.8,1
EDA-0085,Yorkshire,Product,Administrator,3-5 years,Blended,71.7,349.0,3,1,55.8,26.0,100.0,4.8,12.0,1
EDA-0086,West Midlands,IT,Coordinator,3-5 years,Instructor-led,54.4,439.0,3,1,72.1,9.0,67.2,5.0,6.5,1
EDA-0087,Yorkshire,IT,Coordinator,6-10 years,Blended,77.4,449.0,3,1,81.6,22.0,78.6,4.5,10.3,1
EDA-0088,Wales,IT,Developer,10+ years,Blended,47.7,567.0,1,4,73.7,25.0,75.7,4.5,8.9,1
EDA-0089,Scotland,Product,Developer,6-10 years,Self-paced,63.1,168.0,2,0,75.0,34.0,95.3,4.8,11.0,1
EDA-0090,London,Product,Manager,3-5 years,Self-paced,36.6,329.0,4,2,85.5,12.0,77.4,5.0,10.9,1
EDA-0091,West Midlands,Customer Support,Advisor,6-10 years,Instructor-led,28.9,362.0,3,3,62.4,33.0,84.0,3.9,12.4,1
EDA-0092,Yorkshire,IT,Advisor,0-2 years,Self-paced,45.9,224.0,3,0,69.5,11.0,79.7,4.2,13.1,1
EDA-0093,South East,Product,Administrator,3-5 years,Instructor-led,75.9,322.0,5,1,84.9,26.0,94.9,4.8,14.4,1
EDA-0094,South East,Finance,Coordinator,10+ years,Instructor-led,39.3,356.0,3,0,82.6,21.0,87.4,5.0,9.3,1
EDA-0095,Yorkshire,Finance,Analyst,3-5 years,Instructor-led,50.1,344.0,3,1,76.7,6.0,75.8,5.0,8.6,0
EDA-0096,Scotland,Customer Support,Manager,3-5 years,Instructor-led,78.8,547.0,4,1,90.2,13.0,89.9,4.8,14.7,1
EDA-0097,North West,Operations,Manager,6-10 years,Blended,57.1,465.0,3,1,73.8,26.0,74.9,4.8,7.6,1
EDA-0098,Scotland,Operations,Developer,3-5 years,Self-paced,55.6,246.0,4,0,82.3,26.0,98.0,4.9,16.4,1
EDA-0099,Wales,Product,Analyst,0-2 years,Instructor-led,41.9,324.0,4,2,71.2,13.0,82.4,4.1,14.1,1
EDA-0100,Wales,Customer Support,Administrator,3-5 years,Self-paced,66.5,355.0,4,0,93.1,11.0,69.2,5.0,12.2,1
EDA-0101,Wales,Finance,Manager,10+ years,Self-paced,38.1,284.0,3,2,59.7,21.0,82.8,3.7,8.5,1
EDA-0102,Wales,Customer Support,Manager,10+ years,Blended,27.6,340.0,4,1,98.5,17.0,89.7,5.0,15.3,1
EDA-0103,Yorkshire,IT,Analyst,3-5 years,Self-paced,62.8,271.0,3,1,78.8,16.0,77.6,5.0,14.1,1
EDA-0104,Scotland,IT,Administrator,0-2 years,Self-paced,43.8,370.0,3,0,86.6,24.0,75.8,4.2,14.7,1
EDA-0105,West Midlands,Operations,Developer,6-10 years,Blended,45.1,407.0,5,1,92.7,18.0,100.0,5.0,11.5,1
EDA-0106,South East,HR,Analyst,3-5 years,Self-paced,61.1,447.0,5,0,76.8,12.0,87.0,5.0,14.6,1
EDA-0107,Yorkshire,Sales,Analyst,6-10 years,Self-paced,33.9,320.0,5,2,84.2,16.0,73.3,5.0,10.7,1
EDA-0108,Scotland,IT,Administrator,3-5 years,Blended,60.3,395.0,3,3,64.7,30.0,80.1,3.6,11.0,1
EDA-0109,Scotland,Sales,Advisor,3-5 years,Blended,59.2,408.0,4,0,97.1,19.0,100.0,5.0,16.9,1
EDA-0110,South East,Sales,Coordinator,0-2 years,Blended,98.0,521.0,4,1,95.6,19.0,70.3,5.0,9.2,1
EDA-0111,West Midlands,Sales,Administrator,6-10 years,Self-paced,47.9,221.0,3,3,80.8,16.0,78.1,4.2,10.7,1
EDA-0112,Yorkshire,HR,Coordinator,6-10 years,Self-paced,56.1,343.0,3,1,70.1,13.0,88.1,4.2,11.6,1
EDA-0113,London,Sales,Developer,0-2 years,Self-paced,53.9,452.0,2,5,66.3,30.0,76.5,3.5,14.8,1
EDA-0114,North West,Product,Advisor,10+ years,Self-paced,67.5,283.0,3,1,60.4,20.0,85.1,4.0,8.6,0
EDA-0115,London,Product,Developer,0-2 years,Blended,38.0,415.0,4,2,82.8,18.0,71.6,4.4,9.5,1
EDA-0116,South East,Sales,Analyst,0-2 years,Blended,39.3,363.0,1,1,67.8,5.0,79.6,4.5,10.0,1
EDA-0117,Scotland,IT,Advisor,3-5 years,Self-paced,70.0,264.0,5,0,76.7,18.0,80.0,5.0,5.1,0
EDA-0118,South East,Operations,Advisor,3-5 years,Self-paced,74.8,343.0,3,0,91.8,20.0,98.7,5.0,11.8,1
EDA-0119,West Midlands,Operations,Manager,0-2 years,Instructor-led,47.4,498.0,3,2,90.8,20.0,75.9,4.9,9.8,1
EDA-0120,Yorkshire,Operations,Developer,3-5 years,Blended,41.4,421.0,5,1,89.0,18.0,85.0,5.0,10.9,1
EDA-0121,Scotland,Customer Support,Administrator,6-10 years,Self-paced,47.8,372.0,4,1,60.0,19.0,81.8,5.0,11.0,1
EDA-0122,South East,Product,Manager,6-10 years,Instructor-led,76.8,427.0,3,1,62.6,35.0,86.8,4.3,11.2,1
EDA-0123,Wales,Sales,Developer,10+ years,Blended,40.4,473.0,5,1,80.9,24.0,75.5,5.0,10.9,1
EDA-0124,North West,HR,Advisor,3-5 years,Self-paced,64.5,335.0,3,0,86.8,18.0,89.5,4.1,12.4,1
EDA-0125,London,Operations,Advisor,10+ years,Instructor-led,41.7,400.0,4,1,91.5,20.0,79.5,5.0,10.7,1
EDA-0126,Scotland,HR,Coordinator,3-5 years,Blended,60.1,389.0,4,1,95.3,11.0,83.7,5.0,12.5,1
EDA-0127,North West,Sales,Developer,3-5 years,Blended,59.6,464.0,3,0,61.5,3.0,82.8,5.0,10.4,1
EDA-0128,South East,Sales,Coordinator,10+ years,Self-paced,53.5,338.0,4,1,78.9,24.0,79.6,5.0,11.0,1
EDA-0129,Wales,IT,Developer,3-5 years,Self-paced,54.7,286.0,3,1,88.6,13.0,88.6,5.0,11.8,1
EDA-0130,West Midlands,Sales,Developer,10+ years,Instructor-led,52.1,377.0,1,2,75.9,29.0,80.1,4.3,13.0,1
EDA-0131,Scotland,Customer Support,Coordinator,6-10 years,Instructor-led,70.1,409.0,3,2,61.8,25.0,73.0,4.3,16.1,1
EDA-0132,South East,Product,Administrator,3-5 years,Blended,52.0,372.0,3,1,82.3,17.0,64.0,5.0,7.7,1
EDA-0133,Wales,Finance,Advisor,0-2 years,Self-paced,49.7,251.0,4,1,86.5,16.0,78.0,5.0,11.0,1
EDA-0134,London,Customer Support,Advisor,0-2 years,Blended,41.5,449.0,2,3,69.0,31.0,61.3,4.7,4.2,0
EDA-0135,London,Sales,Administrator,6-10 years,Self-paced,48.6,336.0,4,2,93.6,35.0,82.9,5.0,10.9,1
EDA-0136,South East,IT,Manager,6-10 years,Blended,80.6,373.0,2,0,76.1,21.0,78.8,4.7,14.9,1
EDA-0137,South East,Product,Analyst,6-10 years,Blended,40.8,392.0,3,2,94.0,20.0,79.1,4.6,9.7,1
EDA-0138,West Midlands,Customer Support,Manager,3-5 years,Instructor-led,52.1,312.0,3,1,50.1,15.0,74.9,4.4,5.7,1
EDA-0139,Yorkshire,Operations,Developer,6-10 years,Self-paced,52.4,331.0,3,1,91.3,16.0,76.9,5.0,14.1,1
EDA-0140,West Midlands,IT,Analyst,0-2 years,Self-paced,56.9,310.0,2,0,77.0,6.0,69.0,4.1,9.4,1
EDA-0141,South East,Operations,Advisor,3-5 years,Self-paced,10.4,173.0,5,1,75.1,19.0,97.2,4.0,14.8,1
EDA-0142,South East,HR,Advisor,0-2 years,Self-paced,46.7,214.0,5,1,77.6,9.0,86.4,5.0,10.6,1
EDA-0143,London,Customer Support,Administrator,6-10 years,Blended,88.3,529.0,2,0,75.6,14.0,76.9,4.7,8.0,0
EDA-0144,Scotland,Customer Support,Coordinator,6-10 years,Self-paced,63.0,333.0,3,2,69.9,24.0,81.2,5.0,11.5,1
EDA-0145,West Midlands,HR,Administrator,6-10 years,Self-paced,59.1,154.0,3,3,78.3,28.0,85.9,4.6,14.5,1
EDA-0146,North West,Product,Coordinator,0-2 years,Self-paced,51.5,359.0,5,0,99.5,15.0,100.0,5.0,16.5,1
EDA-0147,North West,HR,Coordinator,0-2 years,Blended,45.9,461.0,1,3,73.6,31.0,82.6,4.5,5.6,0
EDA-0148,West Midlands,Customer Support,Coordinator,3-5 years,Instructor-led,58.6,368.0,2,2,61.4,21.0,81.8,3.8,10.7,1
EDA-0149,West Midlands,Sales,Developer,6-10 years,Self-paced,36.3,325.0,5,1,82.4,11.0,82.9,5.0,9.1,1
EDA-0150,North West,Operations,Advisor,6-10 years,Instructor-led,59.4,420.0,5,0,79.8,14.0,100.0,5.0,18.0,1
EDA-0151,Wales,Finance,Coordinator,0-2 years,Instructor-led,58.8,408.0,3,0,66.4,21.0,74.6,4.4,12.8,1
EDA-0152,London,IT,Manager,3-5 years,Instructor-led,70.8,407.0,5,1,75.4,13.0,96.3,5.0,12.9,1
EDA-0153,Yorkshire,Operations,Manager,10+ years,Instructor-led,62.8,444.0,2,0,70.0,18.0,76.3,4.2,16.0,1
EDA-0154,London,Product,Advisor,3-5 years,Instructor-led,48.0,363.0,2,2,81.3,19.0,80.7,3.3,14.2,1
EDA-0155,West Midlands,HR,Administrator,6-10 years,Blended,66.0,478.0,1,2,67.7,22.0,99.9,3.5,12.2,1
EDA-0156,West Midlands,Sales,Manager,0-2 years,Instructor-led,49.7,299.0,5,3,93.5,13.0,96.5,5.0,14.3,1
EDA-0157,South East,Product,Developer,6-10 years,Instructor-led,26.2,320.0,2,0,74.8,24.0,71.3,4.1,10.0,1
EDA-0158,London,HR,Analyst,3-5 years,Blended,33.1,452.0,3,4,97.0,28.0,86.7,4.4,10.4,1
EDA-0159,Wales,Product,Analyst,6-10 years,Blended,43.0,399.0,4,2,100.0,23.0,92.2,5.0,14.2,1
EDA-0160,London,IT,Manager,3-5 years,Blended,40.3,457.0,2,3,70.7,27.0,87.5,4.3,10.7,1
EDA-0161,Scotland,Product,Developer,0-2 years,Self-paced,26.3,225.0,4,3,62.3,23.0,90.9,3.5,11.2,0
EDA-0162,London,IT,Administrator,10+ years,Blended,54.2,418.0,3,1,84.0,20.0,77.6,5.0,11.4,1
EDA-0163,West Midlands,Operations,Developer,6-10 years,Self-paced,38.7,317.0,3,2,59.0,25.0,80.3,3.9,11.2,1
EDA-0164,North West,Operations,Developer,0-2 years,Blended,40.2,349.0,5,1,73.2,12.0,93.3,5.0,11.7,1
EDA-0165,North West,Product,Manager,6-10 years,Self-paced,61.9,212.0,3,1,76.2,12.0,80.3,5.0,4.5,0
EDA-0166,North West,IT,Developer,3-5 years,Blended,88.7,507.0,5,1,88.5,15.0,100.0,4.5,13.5,1
EDA-0167,North West,Finance,Coordinator,0-2 years,Self-paced,10.7,266.0,4,3,66.6,25.0,67.8,5.0,10.0,1
EDA-0168,West Midlands,Operations,Analyst,3-5 years,Self-paced,53.6,260.0,5,0,90.4,6.0,80.6,5.0,9.7,1
EDA-0169,Yorkshire,Sales,Manager,3-5 years,Self-paced,69.7,361.0,2,2,85.5,11.0,79.3,4.7,9.2,1
EDA-0170,London,Sales,Analyst,0-2 years,Blended,63.9,469.0,3,2,60.0,35.0,100.0,4.5,12.3,1
EDA-0171,Yorkshire,IT,Administrator,0-2 years,Blended,51.5,407.0,1,0,77.7,12.0,85.3,5.0,6.7,1
EDA-0172,Scotland,Customer Support,Developer,0-2 years,Instructor-led,63.4,287.0,4,3,73.7,33.0,83.5,4.5,12.7,1
EDA-0173,Scotland,Customer Support,Administrator,6-10 years,Blended,72.9,535.0,3,2,83.1,20.0,75.1,5.0,8.4,1
EDA-0174,West Midlands,Customer Support,Analyst,10+ years,Instructor-led,47.6,274.0,3,0,85.2,23.0,72.9,5.0,11.0,1
EDA-0175,Yorkshire,Sales,Coordinator,6-10 years,Blended,62.2,414.0,5,0,98.9,14.0,95.7,5.0,10.2,1
EDA-0176,London,IT,Administrator,0-2 years,Instructor-led,59.1,406.0,4,1,100.0,10.0,94.5,4.7,13.6,1
EDA-0177,London,Operations,Coordinator,3-5 years,Blended,56.9,361.0,4,1,66.1,33.0,90.2,5.0,17.5,1
EDA-0178,North West,Finance,Advisor,6-10 years,Self-paced,38.4,354.0,3,0,92.0,6.0,86.9,5.0,11.8,1
EDA-0179,South East,Sales,Coordinator,0-2 years,Blended,54.6,404.0,2,3,90.1,21.0,80.3,4.6,8.1,1
EDA-0180,Yorkshire,Sales,Analyst,0-2 years,Blended,66.7,367.0,2,2,49.5,28.0,73.0,3.7,5.1,1
EDA-0181,North West,Sales,Manager,3-5 years,Instructor-led,48.3,464.0,2,3,61.0,32.0,74.9,4.5,14.8,0
EDA-0182,Yorkshire,Operations,Developer,3-5 years,Instructor-led,54.1,405.0,2,1,86.1,15.0,81.6,4.3,9.1,1
EDA-0183,London,Operations,Analyst,0-2 years,Blended,80.3,452.0,5,1,89.5,25.0,95.3,5.0,15.2,1
EDA-0184,London,Operations,Advisor,10+ years,Self-paced,40.3,280.0,3,3,75.9,31.0,55.8,3.7,6.6,0
EDA-0185,London,IT,Developer,6-10 years,Blended,90.0,384.0,2,1,61.6,26.0,87.5,5.0,9.9,1
EDA-0186,Scotland,Operations,Manager,6-10 years,Instructor-led,33.6,261.0,2,3,59.2,32.0,46.5,4.5,11.5,1
EDA-0187,North West,Customer Support,Advisor,6-10 years,Blended,37.8,401.0,4,0,77.3,13.0,72.0,5.0,11.1,1
EDA-0188,Wales,Customer Support,Analyst,6-10 years,Self-paced,58.0,307.0,3,2,64.8,30.0,80.2,4.5,12.3,1
EDA-0189,London,HR,Coordinator,10+ years,Instructor-led,47.9,203.0,1,2,51.2,17.0,68.8,3.3,11.6,1
EDA-0190,London,Customer Support,Advisor,3-5 years,Instructor-led,62.9,337.0,4,2,78.9,15.0,84.4,5.0,11.7,1
EDA-0191,London,Sales,Analyst,6-10 years,Self-paced,59.6,410.0,1,4,44.3,29.0,77.6,4.2,6.0,0
EDA-0192,Wales,Product,Manager,6-10 years,Blended,46.8,517.0,5,1,100.0,16.0,78.3,5.0,14.3,1
EDA-0193,Wales,HR,Administrator,10+ years,Blended,71.0,491.0,3,1,58.2,4.0,81.9,4.6,16.6,1
EDA-0194,Wales,Sales,Analyst,10+ years,Instructor-led,64.0,272.0,4,1,78.5,20.0,92.0,5.0,12.6,1
EDA-0195,Scotland,Sales,Developer,0-2 years,Self-paced,26.1,254.0,3,5,68.8,18.0,62.8,5.0,7.5,0
EDA-0196,Wales,Sales,Coordinator,10+ years,Self-paced,48.5,374.0,4,2,70.3,19.0,75.1,5.0,10.2,1
EDA-0197,Wales,HR,Administrator,0-2 years,Self-paced,59.1,342.0,3,0,75.5,17.0,83.3,5.0,10.2,1
EDA-0198,North West,IT,Administrator,0-2 years,Blended,52.1,520.0,5,0,100.0,24.0,78.5,5.0,17.3,1
EDA-0199,West Midlands,Customer Support,Analyst,10+ years,Instructor-led,66.1,390.0,4,0,86.4,18.0,92.3,4.9,9.4,0
EDA-0200,Yorkshire,Sales,Developer,0-2 years,Instructor-led,42.3,367.0,3,1,69.6,16.0,65.6,5.0,6.1,0
EDA-0201,South East,IT,Coordinator,6-10 years,Blended,62.6,493.0,1,1,87.5,27.0,84.3,5.0,12.9,1
EDA-0202,North West,Customer Support,Administrator,3-5 years,Blended,82.9,468.0,3,1,80.9,15.0,89.2,4.6,10.3,1
EDA-0203,South East,Finance,Administrator,3-5 years,Instructor-led,26.1,311.0,4,1,76.2,13.0,69.1,4.1,10.4,1
EDA-0204,Yorkshire,HR,Coordinator,3-5 years,Instructor-led,60.6,471.0,2,2,71.4,11.0,86.1,3.8,11.4,1
EDA-0205,London,HR,Manager,3-5 years,Self-paced,45.8,224.0,3,2,92.2,24.0,58.7,5.0,14.5,1
EDA-0206,London,IT,Administrator,0-2 years,Blended,65.0,382.0,3,3,96.3,24.0,100.0,4.8,11.5,0
EDA-0207,Wales,Product,Administrator,6-10 years,Self-paced,45.0,240.0,2,0,65.4,24.0,66.2,4.4,9.1,1
EDA-0208,London,Operations,Administrator,6-10 years,Blended,75.3,474.0,2,0,64.3,16.0,89.3,4.5,12.5,1
EDA-0209,West Midlands,Sales,Developer,3-5 years,Instructor-led,54.5,316.0,5,0,78.8,7.0,90.7,5.0,16.6,1
EDA-0210,South East,Operations,Coordinator,6-10 years,Instructor-led,51.5,448.0,2,0,67.6,12.0,68.5,5.0,7.4,0
EDA-0211,Yorkshire,Customer Support,Advisor,0-2 years,Self-paced,19.6,376.0,4,0,83.5,12.0,72.1,5.0,9.6,1
